epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,3929.92,0.98102,1.36317,0.58818,0.96147,0.8883,0.80679,0.8752,0.61666,0.88991,0.80967,0.87411,0.59624,1.04471,1.48034,0.60823,1.04373,0.0016172,0.0016172,0.0016172
31,4060.36,0.97348,1.35358,0.58694,0.96022,0.87862,0.81152,0.87475,0.61569,0.88256,0.81699,0.87705,0.60035,1.034,1.47332,0.62344,1.04259,0.001604,0.001604,0.001604
32,4191.46,0.97689,1.35882,0.5868,0.95873,0.8803,0.80904,0.87296,0.61682,0.88311,0.811,0.87235,0.59423,1.03709,1.49917,0.61356,1.04536,0.0015908,0.0015908,0.0015908
33,4322.29,0.97178,1.34739,0.58116,0.95904,0.88509,0.80886,0.87394,0.62154,0.88838,0.80952,0.8731,0.5983,1.03552,1.495,0.60929,1.04346,0.0015776,0.0015776,0.0015776
34,4451.73,0.97182,1.35476,0.58436,0.95872,0.8918,0.80487,0.87276,0.62248,0.89487,0.80704,0.87219,0.6007,1.02596,1.49849,0.6038,1.04086,0.0015644,0.0015644,0.0015644
35,4581.45,0.97257,1.35087,0.58343,0.9595,0.88286,0.81086,0.87447,0.60754,0.88617,0.81688,0.87645,0.59188,1.07628,1.49976,0.61444,1.06205,0.0015512,0.0015512,0.0015512
36,4710.86,0.97123,1.34877,0.58018,0.95784,0.89585,0.80938,0.8775,0.6306,0.89802,0.81134,0.87675,0.60926,1.00759,1.46503,0.59067,1.034,0.001538,0.001538,0.001538
37,4839.29,0.96612,1.33662,0.5768,0.95561,0.89447,0.80904,0.87625,0.62711,0.89728,0.80929,0.87437,0.60202,1.01396,1.50361,0.59242,1.03639,0.0015248,0.0015248,0.0015248
38,4970.15,0.96631,1.33831,0.57736,0.95647,0.89033,0.81044,0.87584,0.61143,0.89156,0.81398,0.87552,0.59378,1.07477,1.49598,0.60478,1.05399,0.0015116,0.0015116,0.0015116
39,5101.03,0.96493,1.33384,0.57705,0.95622,0.89005,0.81235,0.87802,0.61748,0.8935,0.8155,0.87865,0.60049,1.05127,1.47016,0.59787,1.05089,0.0014984,0.0014984,0.0014984
40,5232.31,0.96386,1.33061,0.573,0.95415,0.87664,0.79424,0.86509,0.59577,0.88224,0.80082,0.86735,0.5815,1.08895,1.48913,0.63835,1.06762,0.0014852,0.0014852,0.0014852
41,5362.78,0.95707,1.32105,0.56946,0.95419,0.88573,0.8172,0.8794,0.62366,0.89,0.82114,0.88041,0.60142,1.03465,1.49517,0.59446,1.04031,0.001472,0.001472,0.001472
42,5492.28,0.95533,1.31673,0.56704,0.95238,0.88844,0.81716,0.87962,0.62207,0.89043,0.81927,0.87901,0.60094,1.03824,1.48197,0.5881,1.04238,0.0014588,0.0014588,0.0014588
43,5624.04,0.9631,1.33676,0.57305,0.95447,0.89063,0.80909,0.87536,0.62686,0.89696,0.8103,0.875,0.60753,1.01726,1.4602,0.59957,1.03717,0.0014456,0.0014456,0.0014456
44,5755.45,0.95828,1.32204,0.57066,0.95385,0.88659,0.81866,0.88038,0.62556,0.88951,0.82136,0.88021,0.60645,1.02408,1.44378,0.59582,1.03845,0.0014324,0.0014324,0.0014324
45,5886.14,0.95288,1.31764,0.56931,0.95134,0.8895,0.81057,0.87495,0.62715,0.89209,0.81252,0.87427,0.60499,1.00908,1.47122,0.59935,1.02722,0.0014192,0.0014192,0.0014192
46,6017.43,0.95439,1.32036,0.56641,0.95286,0.89152,0.82053,0.88142,0.6324,0.89518,0.82004,0.88045,0.60978,1.00752,1.47595,0.57544,1.02997,0.001406,0.001406,0.001406
