epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1824.15,1.50921,0.76103,1.14505,0.75788,0.63611,0.72024,0.36178,1.78058,1.11469,1.37654,0.0014588,0.0014588,0.0014588
43,1866.49,1.51124,0.76588,1.14395,0.7501,0.65016,0.7299,0.35928,1.78353,1.11833,1.35265,0.0014456,0.0014456,0.0014456
44,1908.28,1.50843,0.76404,1.14449,0.80573,0.68137,0.77418,0.39025,1.72933,1.00684,1.34937,0.0014324,0.0014324,0.0014324
45,1949.69,1.50574,0.75701,1.14184,0.83666,0.71257,0.80712,0.42873,1.64606,0.93484,1.2984,0.0014192,0.0014192,0.0014192
46,1991.16,1.50106,0.7595,1.14087,0.81228,0.6972,0.79108,0.41157,1.67395,0.96541,1.30996,0.001406,0.001406,0.001406
47,2032.93,1.50138,0.75368,1.13962,0.84709,0.71528,0.81169,0.42223,1.64262,0.94848,1.30504,0.0013928,0.0013928,0.0013928
48,2074.85,1.50043,0.75476,1.142,0.77902,0.65433,0.74252,0.37043,1.74811,1.06426,1.33568,0.0013796,0.0013796,0.0013796
49,2116.83,1.50355,0.75754,1.14106,0.77467,0.67778,0.76196,0.3926,1.68337,1.04606,1.31456,0.0013664,0.0013664,0.0013664
50,2158.84,1.49989,0.75383,1.14073,0.82247,0.70267,0.79517,0.42038,1.6507,0.96199,1.29969,0.0013532,0.0013532,0.0013532
51,2200.9,1.49936,0.75387,1.14096,0.77299,0.64177,0.73279,0.36719,1.76014,1.0934,1.36678,0.00134,0.00134,0.00134
52,2242.69,1.50261,0.75412,1.14421,0.79181,0.64626,0.74221,0.36701,1.76057,1.06203,1.37748,0.0013268,0.0013268,0.0013268
53,2284.41,1.48883,0.74176,1.13509,0.82716,0.72642,0.81225,0.42528,1.64797,0.91903,1.31027,0.0013136,0.0013136,0.0013136
54,2326.26,1.50248,0.75203,1.1416,0.84829,0.73409,0.82842,0.44084,1.61934,0.89678,1.2899,0.0013004,0.0013004,0.0013004
55,2368.12,1.49201,0.74586,1.13313,0.81854,0.69242,0.78453,0.40066,1.7041,0.97744,1.32486,0.0012872,0.0012872,0.0012872
56,2409.97,1.49325,0.74784,1.13661,0.8252,0.74821,0.82841,0.43964,1.61148,0.90611,1.29784,0.001274,0.001274,0.001274
57,2451.33,1.49376,0.74751,1.13747,0.82911,0.75107,0.83162,0.44142,1.62791,0.86663,1.2979,0.0012608,0.0012608,0.0012608
58,2493.38,1.48843,0.74469,1.13455,0.82907,0.74755,0.83187,0.44674,1.61355,0.88494,1.28221,0.0012476,0.0012476,0.0012476
59,2535.26,1.49272,0.74621,1.13546,0.78325,0.68374,0.7674,0.3934,1.70446,1.00921,1.32473,0.0012344,0.0012344,0.0012344
60,2576.63,1.49267,0.74374,1.13751,0.85791,0.75736,0.84205,0.45,1.61139,0.85473,1.28362,0.0012212,0.0012212,0.0012212
