epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1777.6,1.49643,0.74206,1.14047,0.90145,0.81945,0.89645,0.48098,1.59522,0.77551,1.27469,0.0014588,0.0014588,0.0014588
43,1819.54,1.50029,0.74886,1.13942,0.90175,0.81325,0.89558,0.48525,1.57597,0.76022,1.26494,0.0014456,0.0014456,0.0014456
44,1861.5,1.49754,0.7475,1.1396,0.89876,0.82423,0.90036,0.49024,1.56234,0.74609,1.25887,0.0014324,0.0014324,0.0014324
45,1903.33,1.49253,0.74196,1.13551,0.8966,0.82554,0.89685,0.46941,1.62808,0.7478,1.29187,0.0014192,0.0014192,0.0014192
46,1945,1.48937,0.73997,1.13539,0.89781,0.83327,0.90196,0.49349,1.55951,0.73101,1.25787,0.001406,0.001406,0.001406
47,1987.07,1.48886,0.73557,1.13409,0.89438,0.81652,0.89395,0.47985,1.59114,0.75624,1.2916,0.0013928,0.0013928,0.0013928
48,2028.99,1.49041,0.73659,1.13652,0.90263,0.82529,0.89961,0.48475,1.56909,0.75453,1.26284,0.0013796,0.0013796,0.0013796
49,2070.86,1.4897,0.73742,1.136,0.90637,0.82161,0.89856,0.49686,1.55379,0.72538,1.26138,0.0013664,0.0013664,0.0013664
50,2112.87,1.48806,0.73826,1.13574,0.89339,0.82876,0.89862,0.46514,1.63979,0.77097,1.31047,0.0013532,0.0013532,0.0013532
51,2154.47,1.48616,0.73573,1.13342,0.90404,0.82469,0.90154,0.48925,1.57198,0.7337,1.26282,0.00134,0.00134,0.00134
52,2196.05,1.48889,0.73831,1.13696,0.90561,0.82371,0.89824,0.48016,1.60474,0.74708,1.28538,0.0013268,0.0013268,0.0013268
53,2237.7,1.47767,0.72825,1.12989,0.90645,0.83282,0.90444,0.48806,1.5861,0.71408,1.27932,0.0013136,0.0013136,0.0013136
54,2279.56,1.48902,0.73407,1.13529,0.90038,0.82923,0.90155,0.47953,1.61083,0.73284,1.28995,0.0013004,0.0013004,0.0013004
55,2321.97,1.48103,0.72802,1.12841,0.89434,0.82048,0.89434,0.47276,1.60404,0.78057,1.27817,0.0012872,0.0012872,0.0012872
56,2363.78,1.48283,0.73003,1.13289,0.9046,0.82865,0.90059,0.48633,1.59428,0.73938,1.28553,0.001274,0.001274,0.001274
57,2405.14,1.48224,0.72565,1.13346,0.90404,0.82628,0.9008,0.48534,1.60674,0.7173,1.28622,0.0012608,0.0012608,0.0012608
58,2447.26,1.47767,0.72567,1.12984,0.90312,0.82635,0.90302,0.47712,1.62857,0.74149,1.29125,0.0012476,0.0012476,0.0012476
59,2489.28,1.47932,0.72824,1.12911,0.8945,0.81938,0.89409,0.45636,1.6667,0.77397,1.31242,0.0012344,0.0012344,0.0012344
60,2531.03,1.47995,0.72631,1.13185,0.90668,0.82517,0.89937,0.49335,1.55466,0.73894,1.25871,0.0012212,0.0012212,0.0012212
61,2572.99,1.47814,0.72099,1.13065,0.90072,0.82895,0.90101,0.47638,1.62157,0.7275,1.29858,0.001208,0.001208,0.001208
62,2614.96,1.47354,0.72318,1.12916,0.89593,0.82759,0.89976,0.47172,1.62921,0.7474,1.29908,0.0011948,0.0011948,0.0011948
63,2657.07,1.46741,0.71868,1.12859,0.89668,0.82348,0.8964,0.47036,1.63201,0.75831,1.29119,0.0011816,0.0011816,0.0011816
64,2699.08,1.47624,0.72062,1.12987,0.90475,0.83345,0.90521,0.49456,1.56224,0.71771,1.27068,0.0011684,0.0011684,0.0011684
65,2740.83,1.4682,0.71845,1.12897,0.90299,0.83419,0.90487,0.48141,1.61701,0.72406,1.2908,0.0011552,0.0011552,0.0011552
66,2782.62,1.4674,0.71283,1.12496,0.89522,0.83311,0.90107,0.47536,1.63086,0.72817,1.30559,0.001142,0.001142,0.001142
67,2824.54,1.46917,0.71989,1.12902,0.9008,0.82762,0.90207,0.48938,1.59009,0.72098,1.28329,0.0011288,0.0011288,0.0011288
68,2866.72,1.47314,0.71624,1.12585,0.90391,0.83129,0.90347,0.47726,1.6132,0.73911,1.28931,0.0011156,0.0011156,0.0011156
69,2908.69,1.47609,0.72229,1.12879,0.90671,0.82928,0.90294,0.49103,1.57086,0.7117,1.27003,0.0011024,0.0011024,0.0011024
70,2950.7,1.46355,0.71336,1.12463,0.90625,0.83591,0.90791,0.49918,1.53929,0.73705,1.25259,0.0010892,0.0010892,0.0010892
71,2992.55,1.47033,0.71618,1.12571,0.91027,0.83401,0.9058,0.4992,1.54814,0.6997,1.26512,0.001076,0.001076,0.001076
72,3034.53,1.47388,0.71471,1.12784,0.90166,0.82581,0.90236,0.47996,1.60852,0.73226,1.28986,0.0010628,0.0010628,0.0010628
73,3076.43,1.46303,0.7148,1.12519,0.89873,0.83213,0.90405,0.47837,1.61831,0.72637,1.29574,0.0010496,0.0010496,0.0010496
74,3118.37,1.46263,0.71334,1.12583,0.90637,0.83302,0.90638,0.49035,1.57955,0.72098,1.27529,0.0010364,0.0010364,0.0010364
75,3160.31,1.46408,0.71446,1.12605,0.90405,0.83351,0.90591,0.48137,1.61521,0.71692,1.28525,0.0010232,0.0010232,0.0010232
76,3202.26,1.46183,0.70644,1.12311,0.89972,0.83282,0.90411,0.47754,1.62882,0.71506,1.29474,0.00101,0.00101,0.00101
77,3244.04,1.4623,0.7068,1.1238,0.90674,0.83349,0.90596,0.49377,1.56908,0.70509,1.26607,0.0009968,0.0009968,0.0009968
78,3286.12,1.45518,0.69973,1.11954,0.90762,0.83557,0.90659,0.48421,1.60739,0.72042,1.28595,0.0009836,0.0009836,0.0009836
79,3328.13,1.45456,0.70246,1.12011,0.90597,0.83316,0.90572,0.49097,1.58783,0.70457,1.28539,0.0009704,0.0009704,0.0009704
80,3369.82,1.45339,0.70051,1.11772,0.91121,0.83958,0.90984,0.49367,1.58141,0.70124,1.27631,0.0009572,0.0009572,0.0009572
81,3411.62,1.4588,0.70467,1.12389,0.90588,0.83425,0.90753,0.48585,1.60117,0.70903,1.28709,0.000944,0.000944,0.000944
82,3453.81,1.45572,0.69891,1.12088,0.90913,0.83665,0.91005,0.50025,1.55624,0.69734,1.26314,0.0009308,0.0009308,0.0009308
83,3495.44,1.45704,0.70132,1.11878,0.90425,0.84186,0.90994,0.49389,1.58017,0.69519,1.27696,0.0009176,0.0009176,0.0009176
84,3537.5,1.45668,0.70192,1.121,0.9099,0.83643,0.90985,0.48765,1.60217,0.69764,1.29315,0.0009044,0.0009044,0.0009044
85,3579.78,1.44419,0.69233,1.11608,0.90347,0.83341,0.90381,0.48858,1.58211,0.71413,1.2731,0.0008912,0.0008912,0.0008912
86,3621.59,1.45026,0.69754,1.11937,0.90778,0.83915,0.90972,0.50211,1.54819,0.68616,1.26273,0.000878,0.000878,0.000878
87,3663.6,1.44929,0.69506,1.11778,0.91129,0.84015,0.91034,0.49416,1.58431,0.69503,1.2773,0.0008648,0.0008648,0.0008648
88,3705.33,1.4467,0.69304,1.11988,0.90663,0.83363,0.90557,0.48354,1.61466,0.70703,1.29509,0.0008516,0.0008516,0.0008516
89,3747.38,1.44868,0.69539,1.11799,0.90686,0.84001,0.90927,0.49297,1.58067,0.6975,1.27509,0.0008384,0.0008384,0.0008384
90,3789.09,1.44803,0.68878,1.11629,0.90736,0.83968,0.90915,0.48747,1.59669,0.69883,1.28566,0.0008252,0.0008252,0.0008252
91,3830.99,1.45662,0.69733,1.12205,0.90755,0.83877,0.90891,0.49171,1.59463,0.69537,1.27925,0.000812,0.000812,0.000812
92,3872.85,1.44352,0.69128,1.11536,0.90732,0.84066,0.90965,0.50033,1.56165,0.68486,1.27178,0.0007988,0.0007988,0.0007988
93,3914.85,1.44179,0.68704,1.11428,0.90912,0.84135,0.91118,0.50147,1.56072,0.68219,1.26679,0.0007856,0.0007856,0.0007856
94,3956.93,1.44733,0.68932,1.117,0.90655,0.8393,0.9098,0.49285,1.58943,0.69065,1.28449,0.0007724,0.0007724,0.0007724
95,3998.75,1.44564,0.68797,1.1159,0.90578,0.83849,0.90841,0.4874,1.60595,0.69912,1.28372,0.0007592,0.0007592,0.0007592
