epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1616.25,1.4953,0.73075,1.14796,0.88748,0.8054,0.88517,0.46676,1.61168,0.79354,1.30948,0.0014588,0.0014588,0.0014588
43,1654.61,1.49751,0.73558,1.14569,0.90602,0.82267,0.90043,0.4944,1.55534,0.72993,1.28208,0.0014456,0.0014456,0.0014456
44,1692.38,1.49178,0.7337,1.1455,0.90986,0.81665,0.89854,0.48264,1.58319,0.75836,1.29692,0.0014324,0.0014324,0.0014324
45,1730.58,1.487,0.72937,1.14211,0.90978,0.81975,0.89893,0.49604,1.54777,0.73993,1.28199,0.0014192,0.0014192,0.0014192
46,1768.65,1.48369,0.72739,1.14184,0.89668,0.82021,0.89632,0.46854,1.6292,0.76071,1.31412,0.001406,0.001406,0.001406
47,1806.86,1.48593,0.7228,1.14017,0.89557,0.81503,0.89164,0.46016,1.64591,0.74367,1.34067,0.0013928,0.0013928,0.0013928
48,1845.14,1.48436,0.7243,1.14215,0.90667,0.82452,0.90105,0.48607,1.56956,0.73274,1.29967,0.0013796,0.0013796,0.0013796
49,1883.35,1.48395,0.72473,1.14276,0.90539,0.82788,0.90094,0.49162,1.54711,0.73397,1.28276,0.0013664,0.0013664,0.0013664
50,1921.81,1.48122,0.72474,1.14221,0.89625,0.81989,0.89643,0.4796,1.58099,0.77945,1.29387,0.0013532,0.0013532,0.0013532
51,1959.92,1.48351,0.72118,1.14105,0.89938,0.82461,0.89948,0.47749,1.59527,0.75843,1.29887,0.00134,0.00134,0.00134
52,1997.91,1.48676,0.72492,1.14375,0.90405,0.8205,0.90054,0.48347,1.58699,0.75482,1.29085,0.0013268,0.0013268,0.0013268
53,2036.4,1.47091,0.71183,1.13487,0.90272,0.81771,0.89445,0.48359,1.55122,0.78257,1.27917,0.0013136,0.0013136,0.0013136
54,2074.42,1.48492,0.72219,1.14179,0.91062,0.82931,0.90346,0.5004,1.55078,0.70485,1.28635,0.0013004,0.0013004,0.0013004
55,2112.94,1.47604,0.71353,1.13616,0.90138,0.82641,0.90086,0.49286,1.53962,0.75183,1.27997,0.0012872,0.0012872,0.0012872
56,2150.62,1.48018,0.71719,1.13845,0.91092,0.83636,0.90713,0.49392,1.56584,0.715,1.28986,0.001274,0.001274,0.001274
57,2188.22,1.47463,0.71241,1.13645,0.90795,0.83289,0.90533,0.49271,1.56947,0.70894,1.28933,0.0012608,0.0012608,0.0012608
58,2226.43,1.47432,0.71149,1.13703,0.90311,0.82926,0.90441,0.49832,1.54967,0.73363,1.27678,0.0012476,0.0012476,0.0012476
59,2264.44,1.47575,0.71494,1.13772,0.90371,0.82502,0.90233,0.48655,1.58214,0.73411,1.29496,0.0012344,0.0012344,0.0012344
60,2302.22,1.47514,0.71044,1.14006,0.90717,0.82724,0.90134,0.48287,1.5906,0.73791,1.29732,0.0012212,0.0012212,0.0012212
61,2339.98,1.47402,0.70775,1.13766,0.90408,0.83016,0.90414,0.48897,1.58805,0.71737,1.30201,0.001208,0.001208,0.001208
62,2377.7,1.46627,0.71012,1.1325,0.90578,0.82654,0.90364,0.49786,1.55883,0.70681,1.28509,0.0011948,0.0011948,0.0011948
63,2415.62,1.46182,0.7043,1.13443,0.9059,0.83232,0.90528,0.48475,1.58893,0.7383,1.30155,0.0011816,0.0011816,0.0011816
64,2453.55,1.47117,0.70717,1.13743,0.90849,0.82807,0.9042,0.47881,1.61101,0.73594,1.31346,0.0011684,0.0011684,0.0011684
65,2491.32,1.46356,0.70386,1.13646,0.908,0.83435,0.90853,0.49162,1.58648,0.71756,1.30728,0.0011552,0.0011552,0.0011552
66,2529.17,1.46092,0.6981,1.1322,0.91376,0.83769,0.91138,0.50108,1.55327,0.69257,1.28979,0.001142,0.001142,0.001142
67,2567.03,1.46259,0.70373,1.13567,0.9152,0.83496,0.90981,0.49875,1.56777,0.70174,1.29379,0.0011288,0.0011288,0.0011288
68,2605.37,1.46741,0.70149,1.13232,0.90662,0.83635,0.90785,0.48617,1.57019,0.73279,1.29543,0.0011156,0.0011156,0.0011156
