epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.5666,1.85688,1.58091,1.27527,0.83166,0.73234,0.81397,0.42764,1.58284,1.05783,1.24536,0.000663755,0.000663755,0.000663755
2,150.725,1.68554,0.99863,1.21813,0.83401,0.74278,0.82819,0.43074,1.61761,1.01852,1.28269,0.00132164,0.00132164,0.00132164
3,219.607,1.66964,0.94954,1.21617,0.78669,0.6786,0.77807,0.37725,1.65901,1.17474,1.28833,0.00197073,0.00197073,0.00197073
4,286.913,1.63931,0.911,1.20599,0.86336,0.75218,0.83904,0.44468,1.61834,0.93048,1.30934,0.0019604,0.0019604,0.0019604
5,355.475,1.64005,0.8944,1.20662,0.79319,0.7198,0.79645,0.40559,1.66481,1.22159,1.33578,0.0019472,0.0019472,0.0019472
6,422.82,1.61171,0.87435,1.20321,0.86183,0.76948,0.85962,0.42665,1.69908,0.90805,1.36273,0.001934,0.001934,0.001934
7,489.959,1.60978,0.86325,1.20069,0.84406,0.75928,0.83336,0.42831,1.64222,0.93381,1.31721,0.0019208,0.0019208,0.0019208
8,557.052,1.58699,0.84416,1.19441,0.86845,0.7735,0.86043,0.44648,1.62018,0.89372,1.31827,0.0019076,0.0019076,0.0019076
9,623.684,1.58035,0.82744,1.19118,0.84747,0.7575,0.84675,0.45014,1.61894,0.90228,1.29482,0.0018944,0.0018944,0.0018944
10,690.225,1.58778,0.82815,1.19124,0.87717,0.80127,0.88255,0.48303,1.56908,0.81466,1.29122,0.0018812,0.0018812,0.0018812
11,756.977,1.57243,0.82162,1.18612,0.87541,0.7902,0.87177,0.42613,1.73724,0.84888,1.39547,0.001868,0.001868,0.001868
12,823.998,1.57304,0.81814,1.19012,0.87829,0.79248,0.8789,0.46541,1.58197,0.85984,1.29751,0.0018548,0.0018548,0.0018548
13,890.676,1.56539,0.80667,1.18391,0.89274,0.80283,0.88843,0.49478,1.53045,0.78265,1.27805,0.0018416,0.0018416,0.0018416
