epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1761.26,1.50921,0.76103,1.14505,0.90026,0.81316,0.89216,0.47829,1.58206,0.77598,1.27116,0.0014588,0.0014588,0.0014588
43,1803.04,1.51124,0.76588,1.14395,0.9039,0.81173,0.89179,0.49158,1.5264,0.76375,1.24373,0.0014456,0.0014456,0.0014456
44,1844.59,1.50843,0.76404,1.14449,0.90636,0.80492,0.88913,0.48451,1.55382,0.77253,1.26495,0.0014324,0.0014324,0.0014324
45,1885.8,1.50574,0.75701,1.14184,0.9045,0.81196,0.89066,0.47421,1.59555,0.76886,1.27234,0.0014192,0.0014192,0.0014192
46,1927.25,1.50106,0.7595,1.14087,0.90639,0.81268,0.89182,0.48651,1.54584,0.76367,1.24939,0.001406,0.001406,0.001406
47,1968.88,1.50138,0.75368,1.13962,0.90775,0.80388,0.88639,0.47239,1.54696,0.8101,1.27106,0.0013928,0.0013928,0.0013928
48,2010.22,1.50043,0.75476,1.142,0.89689,0.80852,0.88343,0.45402,1.64629,0.76912,1.29307,0.0013796,0.0013796,0.0013796
49,2051.69,1.50355,0.75754,1.14106,0.9083,0.82692,0.90117,0.49431,1.54494,0.74296,1.25327,0.0013664,0.0013664,0.0013664
50,2093.55,1.49989,0.75383,1.14073,0.90053,0.81314,0.89036,0.48708,1.54033,0.76265,1.2519,0.0013532,0.0013532,0.0013532
51,2134.99,1.49936,0.75387,1.14096,0.90194,0.81078,0.89038,0.47142,1.59532,0.77887,1.27923,0.00134,0.00134,0.00134
52,2176.77,1.50261,0.75412,1.14421,0.90018,0.78233,0.87356,0.47023,1.54642,0.83033,1.27071,0.0013268,0.0013268,0.0013268
53,2218.76,1.48883,0.74176,1.13509,0.90987,0.81947,0.89513,0.48861,1.52699,0.75435,1.25018,0.0013136,0.0013136,0.0013136
54,2260.45,1.50248,0.75203,1.1416,0.90976,0.81908,0.89473,0.48565,1.54994,0.75931,1.257,0.0013004,0.0013004,0.0013004
55,2302.35,1.49201,0.74586,1.13313,0.90261,0.81489,0.8899,0.47836,1.54647,0.77489,1.25143,0.0012872,0.0012872,0.0012872
56,2344.34,1.49325,0.74784,1.13661,0.90726,0.80824,0.8868,0.47067,1.57759,0.80239,1.28312,0.001274,0.001274,0.001274
57,2385.77,1.49376,0.74751,1.13747,0.91186,0.80994,0.88926,0.48268,1.55051,0.76974,1.26402,0.0012608,0.0012608,0.0012608
58,2427.66,1.48843,0.74469,1.13455,0.91292,0.81209,0.89174,0.48774,1.52244,0.79468,1.24425,0.0012476,0.0012476,0.0012476
59,2469.53,1.49272,0.74621,1.13546,0.9073,0.80212,0.88559,0.482,1.5295,0.78947,1.24762,0.0012344,0.0012344,0.0012344
60,2511.26,1.49267,0.74374,1.13751,0.90469,0.80546,0.88352,0.47631,1.54309,0.79759,1.25488,0.0012212,0.0012212,0.0012212
61,2553.16,1.48891,0.73683,1.13476,0.9113,0.8157,0.89568,0.48534,1.55476,0.76369,1.25831,0.001208,0.001208,0.001208
62,2594.6,1.48379,0.74052,1.13173,0.90579,0.81245,0.89193,0.46998,1.59661,0.78255,1.27077,0.0011948,0.0011948,0.0011948
63,2636.23,1.47783,0.73381,1.13062,0.90517,0.79598,0.88143,0.46033,1.59954,0.80684,1.28054,0.0011816,0.0011816,0.0011816
64,2677.98,1.48858,0.74117,1.13435,0.90847,0.81184,0.89133,0.48124,1.55213,0.76368,1.26167,0.0011684,0.0011684,0.0011684
65,2719.63,1.47878,0.73439,1.13339,0.90844,0.8069,0.8886,0.47569,1.5699,0.79074,1.26511,0.0011552,0.0011552,0.0011552
66,2761.14,1.48022,0.73136,1.1307,0.90588,0.82285,0.8964,0.48085,1.57548,0.74544,1.27135,0.001142,0.001142,0.001142
67,2803.08,1.48005,0.73404,1.13259,0.8991,0.80458,0.88383,0.46424,1.57729,0.80807,1.27926,0.0011288,0.0011288,0.0011288
68,2844.76,1.48184,0.73239,1.12974,0.9039,0.79839,0.88078,0.45132,1.62581,0.81922,1.29975,0.0011156,0.0011156,0.0011156
69,2886.35,1.48947,0.74078,1.13496,0.90176,0.7934,0.87925,0.45432,1.6214,0.82757,1.28927,0.0011024,0.0011024,0.0011024
70,2928.51,1.47541,0.72831,1.12742,0.90173,0.79714,0.88087,0.45157,1.62098,0.83759,1.28961,0.0010892,0.0010892,0.0010892
71,2969.96,1.47972,0.73111,1.12919,0.91149,0.8135,0.89137,0.47213,1.58406,0.76242,1.27158,0.001076,0.001076,0.001076
72,3011.39,1.48602,0.73467,1.13237,0.90858,0.82386,0.89817,0.47616,1.59593,0.74365,1.26989,0.0010628,0.0010628,0.0010628
