epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,142.386,1.38218,2.06507,1.52522,1.11444,0.83136,0.72919,0.8075,0.52267,0.83784,0.73162,0.80719,0.50546,1.23755,1.82455,0.94392,1.08948,0.000663755,0.000663755,0.000663755
2,280.893,1.15687,1.64552,0.83645,1.01199,0.83701,0.75243,0.82085,0.5225,0.84079,0.75162,0.81653,0.49201,1.23316,2.03055,0.84051,1.09637,0.00132164,0.00132164,0.00132164
3,417.451,1.1392,1.61891,0.79351,1.00884,0.84748,0.72049,0.80944,0.54657,0.85023,0.71862,0.80569,0.53297,1.16135,1.74058,0.90058,1.08901,0.00197073,0.00197073,0.00197073
4,553.663,1.13186,1.58439,0.7729,1.00345,0.85506,0.77223,0.84425,0.5746,0.85924,0.77239,0.842,0.55717,1.10852,1.7231,0.77358,1.05892,0.0019604,0.0019604,0.0019604
5,690.459,1.10148,1.54024,0.73455,0.99503,0.8421,0.76193,0.82974,0.54146,0.84482,0.76644,0.83023,0.52028,1.15212,1.69228,0.81506,1.08186,0.0019472,0.0019472,0.0019472
6,826.411,1.07838,1.51878,0.71391,0.99027,0.86562,0.7723,0.84396,0.57621,0.87088,0.77052,0.84131,0.55084,1.11602,1.76115,0.73133,1.06667,0.001934,0.001934,0.001934
7,963.207,1.08133,1.51867,0.70471,0.98856,0.84367,0.75761,0.83266,0.54847,0.84675,0.76038,0.83239,0.53228,1.19221,1.69885,0.77488,1.09309,0.0019208,0.0019208,0.0019208
8,1098.89,1.05729,1.47047,0.67988,0.98119,0.87422,0.77462,0.85057,0.58314,0.87511,0.77658,0.84859,0.56004,1.08106,1.59778,0.72197,1.05165,0.0019076,0.0019076,0.0019076
9,1234.77,1.05767,1.47511,0.68215,0.9821,0.87399,0.78922,0.86115,0.58981,0.88129,0.7939,0.86181,0.57838,1.10127,1.57452,0.67319,1.0599,0.0018944,0.0018944,0.0018944
10,1371.1,1.04238,1.4564,0.66941,0.97762,0.86012,0.77722,0.84948,0.57837,0.86294,0.77816,0.84871,0.55813,1.10237,1.60449,0.71686,1.05687,0.0018812,0.0018812,0.0018812
11,1506.85,1.04918,1.45867,0.66402,0.97925,0.8688,0.79152,0.86054,0.57885,0.87333,0.79564,0.8624,0.56146,1.14171,1.59378,0.69407,1.07516,0.001868,0.001868,0.001868
12,1643.71,1.04785,1.45586,0.66067,0.97735,0.87468,0.77232,0.84717,0.59105,0.8776,0.77272,0.84404,0.56681,1.0793,1.64371,0.67642,1.05635,0.0018548,0.0018548,0.0018548
13,1779.22,1.03776,1.44401,0.65338,0.97524,0.87582,0.79471,0.86471,0.60209,0.87976,0.79922,0.86526,0.58592,1.05119,1.53868,0.66264,1.03966,0.0018416,0.0018416,0.0018416
14,1915.38,1.02232,1.41385,0.64134,0.97342,0.87562,0.78926,0.85955,0.60442,0.87865,0.78795,0.85603,0.58241,1.05115,1.53345,0.66608,1.04855,0.0018284,0.0018284,0.0018284
15,2051.54,1.02239,1.43078,0.643,0.97131,0.88253,0.79643,0.86683,0.61043,0.88497,0.7958,0.86388,0.58841,1.03192,1.5641,0.64493,1.03796,0.0018152,0.0018152,0.0018152
16,2186.97,1.02058,1.42065,0.64053,0.97167,0.87641,0.78847,0.86225,0.60347,0.88109,0.78766,0.85983,0.58138,1.07182,1.5326,0.65246,1.04425,0.001802,0.001802,0.001802
17,2322.04,1.01464,1.41326,0.63064,0.97015,0.872,0.78894,0.86015,0.60227,0.87272,0.79456,0.86055,0.58615,1.05197,1.53753,0.66766,1.04159,0.0017888,0.0017888,0.0017888
18,2457.75,1.0167,1.40531,0.63313,0.97008,0.86587,0.78771,0.86154,0.61218,0.86814,0.78978,0.8613,0.59386,1.01951,1.51169,0.70183,1.03249,0.0017756,0.0017756,0.0017756
19,2593.11,1.00139,1.38999,0.62124,0.96454,0.87496,0.79483,0.86326,0.59771,0.87789,0.79585,0.86161,0.56971,1.08137,1.61825,0.64986,1.04826,0.0017624,0.0017624,0.0017624
20,2727.52,1.00292,1.39831,0.62165,0.96543,0.86824,0.78131,0.85676,0.59627,0.87348,0.78449,0.85759,0.5787,1.05622,1.52958,0.67067,1.05159,0.0017492,0.0017492,0.0017492
21,2863.06,1.00768,1.3901,0.62251,0.96462,0.88199,0.80393,0.86933,0.61418,0.88575,0.80735,0.86959,0.59711,1.03567,1.5059,0.63698,1.03562,0.001736,0.001736,0.001736
22,2998.33,1.00168,1.38632,0.61991,0.96394,0.88288,0.79251,0.86773,0.61101,0.88621,0.79499,0.86674,0.58453,1.04294,1.54877,0.63865,1.04118,0.0017228,0.0017228,0.0017228
23,3134.9,0.99978,1.38295,0.61506,0.96501,0.88519,0.79614,0.86765,0.60798,0.88811,0.80032,0.86798,0.59793,1.05315,1.50582,0.64741,1.04666,0.0017096,0.0017096,0.0017096
24,3269.42,0.99386,1.37576,0.61087,0.96169,0.88497,0.81515,0.87858,0.61859,0.88844,0.8152,0.87641,0.59529,1.03526,1.54347,0.61779,1.03369,0.0016964,0.0016964,0.0016964
25,3405.02,0.9971,1.38477,0.61354,0.9633,0.87881,0.80795,0.8732,0.62367,0.88028,0.8093,0.8711,0.59871,1.01942,1.51082,0.60984,1.02733,0.0016832,0.0016832,0.0016832
26,3542.01,0.9882,1.36732,0.60621,0.9585,0.86884,0.80219,0.86932,0.59518,0.87538,0.80587,0.87029,0.5804,1.10312,1.49529,0.65466,1.05343,0.00167,0.00167,0.00167
27,3678.03,0.99096,1.36819,0.60783,0.96107,0.8736,0.80321,0.87092,0.61434,0.87887,0.80742,0.87135,0.59006,1.02943,1.5174,0.64828,1.0298,0.0016568,0.0016568,0.0016568
28,3816.36,0.98151,1.35633,0.59839,0.95674,0.88763,0.80278,0.874,0.61685,0.88969,0.80386,0.87224,0.59451,1.04863,1.48973,0.61626,1.03906,0.0016436,0.0016436,0.0016436
29,3954.51,0.98716,1.37086,0.60324,0.96085,0.87502,0.80181,0.87009,0.60376,0.87927,0.80571,0.8704,0.58091,1.06657,1.52565,0.66421,1.04099,0.0016304,0.0016304,0.0016304
