epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,182.035,1.46134,2.2606,1.62237,1.15394,0.82866,0.70808,0.79107,0.50484,0.82875,0.70278,0.78294,0.47681,1.26427,1.90483,0.92646,1.10251,0.000663755,0.000663755,0.000663755
2,351.345,1.14522,1.62993,0.81094,1.00985,0.83709,0.75662,0.83094,0.55807,0.8438,0.76268,0.83424,0.54458,1.14381,1.77828,0.80091,1.0729,0.00132164,0.00132164,0.00132164
3,519.31,1.12429,1.57765,0.7557,1.00438,0.84496,0.75953,0.8344,0.5462,0.84911,0.762,0.83248,0.5207,1.16383,1.90429,0.8134,1.09465,0.00197073,0.00197073,0.00197073
4,686.502,1.0868,1.52436,0.71427,0.99292,0.86161,0.77316,0.83968,0.57813,0.86427,0.77555,0.83859,0.564,1.10841,1.65088,0.70635,1.07502,0.0019604,0.0019604,0.0019604
5,853.002,1.07007,1.49747,0.68999,0.98925,0.864,0.78512,0.85308,0.58425,0.86815,0.78985,0.85389,0.56314,1.10798,1.72065,0.71292,1.07478,0.0019472,0.0019472,0.0019472
6,1020.03,1.04583,1.46188,0.66661,0.98463,0.87258,0.80096,0.86427,0.58611,0.87464,0.80677,0.86498,0.57545,1.11685,1.59133,0.67383,1.07823,0.001934,0.001934,0.001934
7,1185.43,1.04665,1.45908,0.65987,0.98318,0.86051,0.77877,0.85163,0.5927,0.86263,0.78269,0.85318,0.57735,1.05257,1.58737,0.69715,1.06064,0.0019208,0.0019208,0.0019208
8,1351.35,1.02734,1.4311,0.6469,0.97963,0.87177,0.80049,0.86599,0.59985,0.87636,0.80269,0.865,0.57753,1.0847,1.61583,0.6539,1.05868,0.0019076,0.0019076,0.0019076
9,1516.59,1.02055,1.42963,0.63684,0.97622,0.87422,0.79613,0.86421,0.59253,0.87706,0.79723,0.86285,0.56219,1.08536,1.74586,0.66269,1.06667,0.0018944,0.0018944,0.0018944
10,1683.19,1.02799,1.42332,0.63308,0.97722,0.87185,0.81013,0.86949,0.59038,0.87446,0.81256,0.86809,0.57248,1.1344,1.5842,0.6504,1.08004,0.0018812,0.0018812,0.0018812
11,1849.16,1.01097,1.4034,0.62613,0.97243,0.86805,0.79699,0.86413,0.60394,0.86994,0.80175,0.86359,0.58821,1.05317,1.5138,0.67884,1.05329,0.001868,0.001868,0.001868
12,2015.77,1.01451,1.40986,0.62683,0.97382,0.88541,0.80413,0.87229,0.61441,0.88796,0.80569,0.87085,0.59876,1.04115,1.52872,0.63176,1.05181,0.0018548,0.0018548,0.0018548
13,2182.2,1.00618,1.39099,0.61869,0.96974,0.88797,0.81278,0.87673,0.62372,0.89011,0.81474,0.8741,0.60214,1.01573,1.54091,0.61373,1.0451,0.0018416,0.0018416,0.0018416
14,2349.92,0.99633,1.38249,0.61077,0.9681,0.88091,0.81035,0.87348,0.60079,0.88398,0.81317,0.87351,0.57387,1.08569,1.61881,0.6625,1.07234,0.0018284,0.0018284,0.0018284
15,2517.16,0.9891,1.37119,0.60443,0.96688,0.87647,0.80539,0.8714,0.60473,0.8812,0.80974,0.87215,0.58234,1.05516,1.55831,0.64649,1.06231,0.0018152,0.0018152,0.0018152
16,2683.57,0.99706,1.37261,0.60546,0.96859,0.87813,0.81041,0.87522,0.61597,0.88214,0.81157,0.87395,0.59321,1.03174,1.56567,0.6374,1.04616,0.001802,0.001802,0.001802
17,2848.74,0.99371,1.3654,0.60207,0.9663,0.88147,0.80593,0.87362,0.60943,0.88517,0.80744,0.87149,0.57905,1.05745,1.61979,0.62172,1.0608,0.0017888,0.0017888,0.0017888
18,3015.21,0.98871,1.36096,0.59752,0.96429,0.88385,0.81123,0.87532,0.62412,0.88773,0.8133,0.87416,0.60296,1.01482,1.50169,0.61458,1.03958,0.0017756,0.0017756,0.0017756
19,3181.66,0.9777,1.35277,0.59424,0.96411,0.87485,0.80654,0.86994,0.6035,0.87943,0.80856,0.86942,0.5756,1.07041,1.67803,0.65823,1.05899,0.0017624,0.0017624,0.0017624
20,3348.1,0.9702,1.3356,0.58734,0.9597,0.87566,0.82069,0.87848,0.62674,0.87917,0.82398,0.87815,0.60717,1.00134,1.523,0.61372,1.0407,0.0017492,0.0017492,0.0017492
21,3514.62,0.97285,1.34727,0.59155,0.96203,0.88895,0.81979,0.88157,0.603,0.89306,0.82357,0.8819,0.58125,1.11176,1.58496,0.60765,1.06577,0.001736,0.001736,0.001736
